category,brand,title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
budget,0.01,0.01 Z62,59.0,60%,Plate Mount,0,0,Metal (likely Aluminium),1,Wired,0,0
budget,0.01,0.01 Z62 Blank Blank,59.0,60%,Plate Mount,0,0,Metal (likely Aluminium),1,Wired,0,0
premium,80retros,80retros GB65 X Click Inc,169.0,65%,Gasket Mount,0,1,Metal (likely Aluminium),0,Wired,0,0
premium,80retros,80retros Pad Numpad X Click Inc,129.0,Unknown,Gasket Mount,0,1,Metal (likely Aluminium),0,Unknown,0,0
midrange,8BitDo,8BitDo Retro,119.0,80%,Top Mount,0,1,Metal (likely Aluminium),0,Wireless,0,1
midrange,8BitDo,8BitDo Retro 108,139.0,100%,Top Mount,0,1,Metal (likely Aluminium),0,Wireless,0,0
midrange,8BitDo,8BitDo Retro 18 Numpad,69.0,Unknown,Top Mount,0,1,Metal (likely Aluminium),0,Wireless,1,0
midrange,8BitDo,8BitDo Retro 87 Xbox Edition,139.0,80%,Unknown,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,8BitDo,8BitDo Retro S Edition,149.0,80%,Top Mount,0,1,Metal (likely Aluminium),0,Wireless,0,1
midrange,8BitDo,8BitDo Retro87 C64,109.0,80%,Top Mount,0,1,Metal (likely Aluminium),0,Wireless,0,1
premium,ACGAM,ACGAM ACTTO B303 Typewriter Retro Membrane,68.0,75%,Unknown,0,0,Unspecified(likely ABS plastic),0,Wireless,0,0
premium,ACGAM,ACGAM ACTTO B503 Typewriter Retro Membrane,78.0,100%,Unknown,0,0,Unspecified(likely ABS plastic),0,Wireless,0,0
premium,ACGAM,ACGAM ACTTO B703 Typewriter Retro,99.0,75%,Unknown,0,0,Metal (likely Aluminium),1,Wireless,0,0
premium,ACGAM,ACGAM ACTTO B705 Typewriter Retro,137.0,96%,Unknown,0,0,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,ACGAM,ACGAM ATK68 V2,179.0,65%,Tray Mount,1,0,Metal (likely Aluminium),0,Wired,0,0
premium,ACGAM,ACGAM Alice ABM066,75.0,65%,Gasket Mount,0,1,Unspecified(likely ABS plastic),0,Wireless,0,0
premium,ACGAM,ACGAM C68 Kawaii Cat,125.0,65%,Unknown,0,1,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,ACGAM,ACGAM DK65,125.0,65%,Gasket Mount,0,0,Metal (likely Aluminium),1,Wireless,1,1
premium,ACGAM,ACGAM FancyAlice66 Selfassembly,99.0,65%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wired,0,0
premium,ACGAM,ACGAM LT84,78.0,80%,Sandwich Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,0
premium,ACGAM,ACGAM MF34 Macro Macro Pad,56.0,Unknown,Unknown,0,1,Unspecified(likely ABS plastic),1,Wired,0,0
premium,ACGAM,ACGAM Resin61,99.0,60%,Unknown,0,1,Unspecified(likely ABS plastic),1,Wired,0,0
premium,ACGAM,ACGAM S99,109.0,96%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,0
premium,ACGAM,ACGAM V98 Pro V2,99.0,98%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,0
premium,ACGAM,ACGAM VXE ATK68,159.0,65%,Unknown,1,1,Metal (likely Aluminium),1,Wired,0,0
budget,ATTACK,ATTACK SHARK K85 RT,79.0,75%,Gasket Mount,1,1,Metal (likely Aluminium),0,Wired,0,1
budget,ATTACK,ATTACK SHARK K86,67.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,1
budget,ATTACK,ATTACK SHARK X68 HE Rapid Trigger,89.0,65%,Unknown,1,1,Metal (likely Aluminium),1,Wired,0,0
midrange,AULA,AULA AU75 3 in 1,57.0,75%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,AULA,AULA F108 Pro,87.0,100%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,1
midrange,AULA,AULA F65,56.0,65%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,0,0
midrange,AULA,AULA F68,79.0,65%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,AULA,AULA F75,66.0,75%,Gasket Mount,1,1,Metal (likely Aluminium),1,Wireless,0,1
midrange,AULA,AULA F75 Max,72.0,75%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,1
midrange,AULA,AULA F81,95.0,75%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,AULA,AULA F87,42.0,80%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,0,0
midrange,AULA,AULA F87 Pro,63.0,80%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,0
midrange,AULA,AULA F98,60.0,98%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,0,0
midrange,AULA,AULA F98 Pro,89.0,98%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,1,1
midrange,AULA,AULA F99,71.0,98%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,0,0
midrange,AULA,AULA F99 Pro,70.0,96%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,AULA,AULA F99 Pro Gradient sideengraved,89.0,98%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,0,1
midrange,AULA,AULA HERO68 HE,59.0,65%,Unknown,1,0,Metal (likely Aluminium),1,Wired,0,0
midrange,AULA,AULA M75,99.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,0
midrange,AULA,AULA WIN60,35.0,60%,Unknown,1,0,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,AULA,AULA WIN60HE,58.0,60%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,AULA,AULA WIN60HE MAX,63.0,60%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,AULA,AULA WIN68,39.0,65%,Unknown,1,0,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,AULA,AULA WIN68HE,59.0,95%,Bottom Mount,1,1,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,AULA,AULA WIN68HE MAX,65.0,95%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wired,0,0
midrange,Ace,Ace Pad Tech APT04 HE,89.0,60%,Plate Mount,1,0,Unspecified(likely ABS plastic),1,Wired,0,0
premium,Aesco,Aesco A67/A83 Electric Induction RT,169.0,65%,Gasket Mount,1,1,Metal (likely Aluminium),1,Wireless,0,0
premium,Aiglatson,Aiglatson Studio Constance,399.0,100%,Top Mount,0,0,Metal (likely Aluminium),0,Unknown,0,0
premium,Ajazz,Ajazz AC067 Cheese,197.0,65%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wired,0,0
premium,Ajazz,Ajazz AC067 Mountain,149.0,65%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,0
premium,Ajazz,Ajazz AC081,159.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wired,0,0
premium,Ajazz,Ajazz AC100,129.0,96%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,0
premium,Ajazz,Ajazz AC100 LCD,89.0,96%,Gasket Mount,0,0,Metal (likely Aluminium),1,Wireless,1,0
premium,Ajazz,Ajazz AK33,52.0,65%,Unknown,0,1,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,Ajazz,Ajazz AK35I V2,94.0,100%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,0
premium,Ajazz,Ajazz AK35I V3 MAX Color,109.0,100%,Unknown,0,1,Metal (likely Aluminium),1,Wireless,1,1
premium,Ajazz,Ajazz AK35i V3,91.0,100%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,1
premium,Ajazz,Ajazz AK40 Pro,54.0,80%,Unknown,0,0,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,Ajazz,Ajazz AK650,68.0,65%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,1
premium,Ajazz,Ajazz AK680,34.0,65%,Tray Mount,0,1,Unspecified(likely ABS plastic),1,Wired,0,0
premium,Ajazz,Ajazz AK680 MAX,49.0,65%,Top Mount,1,0,Metal (likely Aluminium),1,Wired,0,0
premium,Ajazz,Ajazz AK816,119.0,75%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
premium,Ajazz,Ajazz AK816 Pro,149.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,1
premium,Ajazz,Ajazz AK820,39.0,75%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wired,0,1
premium,Ajazz,Ajazz AK820 AS Classic,39.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),0,Wired,0,1
premium,Ajazz,Ajazz AK820 Max,59.0,75%,Gasket Mount,1,1,Unspecified(likely ABS plastic),1,Wireless,1,1
premium,Ajazz,Ajazz AK820 Max Plus,54.0,75%,Unknown,0,1,Unspecified(likely ABS plastic),0,Wireless,1,1
premium,Ajazz,Ajazz AK820 Max Retro Style,59.0,75%,Unknown,0,1,Unspecified(likely ABS plastic),0,Wireless,0,1
premium,Ajazz,Ajazz AK820 Pro,55.0,75%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,1,1
premium,Ajazz,Ajazz AK832 Pro,59.0,75%,Gasket Mount,0,0,Metal (likely Aluminium),1,Wireless,1,0
premium,Ajazz,Ajazz AK870,46.0,80%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,1
premium,Ajazz,Ajazz AK870 Plus,69.0,80%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,0
premium,Ajazz,Ajazz AK870 Swappable,83.0,80%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,1
premium,Ajazz,Ajazz AK870MC Rainbow,29.0,80%,Bottom Mount,0,1,Unspecified(likely ABS plastic),1,Wired,0,0
premium,Ajazz,Ajazz AK871,59.0,80%,Unknown,0,1,Unspecified(likely ABS plastic),0,Wireless,0,0
premium,Ajazz,Ajazz AK873,79.0,80%,Sandwich Mount,0,1,Metal (likely Aluminium),1,Wireless,0,0
premium,Ajazz,Ajazz AK966,139.0,96%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,1
premium,Ajazz,Ajazz AK980,75.0,96%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,1,0
premium,Ajazz,Ajazz AK992,65.0,96%,Gasket Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,1
premium,Ajazz,Ajazz AK992 Summer,59.0,96%,Gasket Mount,0,1,Metal (likely Aluminium),1,Wireless,0,1
premium,Ajazz,Ajazz AKC087,74.0,80%,Plate Mount,0,1,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,Ajazz,Ajazz AKC087 Thousandlayer crisp Structure Design,77.0,80%,Unknown,0,1,Unspecified(likely ABS plastic),1,Wireless,0,0
premium,Ajazz,Ajazz AKL680,35.0,65%,Unknown,0,0,Unspecified(likely ABS plastic),0,Wireless,0,0
